Page ID,Section name,H1,Current URL,Current page path,New page path,Hierarchy level,Page type,Content section,Queries,Level of factual updates,HR owner (information provider and approver),Sitemap queries for HR,Additional migration instructions,Page template,Hide from nav,CMS preview,CMS edit
,Enhancements for overtime and for unsocial and variable hours,,https://www.york.ac.uk/admin/hr/pay-and-grading/pay-scales/enhancements/,/admin/hr/pay-and-grading/pay-scales/enhancements/,/hr/employment/pay-grading/pay-scales/enhancements/,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Grades 1-8R,,https://www.york.ac.uk/admin/hr/pay-and-grading/pay-scales/grades-1-8/,/admin/hr/pay-and-grading/pay-scales/grades-1-8/,/hr/employment/pay-grading/pay-scales/grades-1-8/,5,Information page (non standard),03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Has a formatted table which could be tricky to replicate. Test with the migration tool.,answer-template-2017,FALSE,Preview,Edit
,Interns,,https://www.york.ac.uk/admin/hr/pay-and-grading/pay-scales/interns/,/admin/hr/pay-and-grading/pay-scales/interns/,/hr/employment/pay-grading/pay-scales/interns/,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Marie Curie researchers,,https://www.york.ac.uk/admin/hr/pay-and-grading/pay-scales/marie-curie/,/admin/hr/pay-and-grading/pay-scales/marie-curie/,/hr/employment/pay-grading/pay-scales/marie-curie/,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Professors,,https://www.york.ac.uk/admin/hr/pay-and-grading/pay-scales/professors/,/admin/hr/pay-and-grading/pay-scales/professors/,/hr/employment/pay-grading/pay-scales/professors/,5,"Information page, Access control required",03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Senior Management,,https://www.york.ac.uk/admin/hr/pay-and-grading/pay-scales/senior-management/,/admin/hr/pay-and-grading/pay-scales/senior-management/,/hr/employment/pay-grading/pay-scales/senior-management/,5,"Information page, Access control required",03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Professorial pay review,,https://www.york.ac.uk/admin/hr/browse/pay-and-grading/professorial-pay-review,/browse/pay-and-grading/professorial-pay-review,/hr/employment/pay-grading/professorial-pay-review/,4,Index page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Double check links for all child pages - current index page is missing: https://www.york.ac.uk/admin/hr/pay-and-grading/professorial-pay-review/hods/,Browse listing page,FALSE,Preview,Edit
,Apply for professorial pay review,,https://www.york.ac.uk/admin/hr/pay-and-grading/professorial-pay-review/apply/,/admin/hr/pay-and-grading/professorial-pay-review/apply/,/hr/employment/pay-grading/professorial-pay-review/apply/,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,HoD and Departmental Promotion Group (DPG) guidance,,https://www.york.ac.uk/admin/hr/pay-and-grading/professorial-pay-review/hods/,/admin/hr/pay-and-grading/professorial-pay-review/hods/,/hr/employment/pay-grading/professorial-pay-review/hods/,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Professorial pay review overview,,https://www.york.ac.uk/admin/hr/pay-and-grading/professorial-pay-review/overview/,/admin/hr/pay-and-grading/professorial-pay-review/overview/,/hr/employment/pay-grading/professorial-pay-review/overview/,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Promotion,,https://www.york.ac.uk/admin/hr/browse/pay-and-grading/promotion,/browse/pay-and-grading/promotion,/hr/employment/pay-grading/promotion/,4,Index page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,"Move main links into a 'searchable list/table' content type

For panel guidance - add a heading and two separate links for the panel guidance TOR pages",Browse listing page,FALSE,Preview,Edit
,Academic promotions: overview,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/overview/,/admin/hr/pay-and-grading/promotion/overview/,/hr/employment/pay-grading/promotion/academic-overview/,5,Information page (non standard),03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
1,Academic promotions policy,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/policy/policy/,/admin/hr/pay-and-grading/promotion/policy/policy/,/hr/employment/pay-grading/promotion/academic-policy,5,Multistep parent,03 My employment (pay and grading),None,Not Found,Louise Abrahams,,"Not step-by-step
Many next clicks (100)",multiPage-template-2017,FALSE,Preview,Edit
2,Procedure,Academic promotions procedure,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/policy/procedure/,/admin/hr/pay-and-grading/promotion/policy/procedure/,/hr/employment/pay-grading/promotion/academic-policy/procedure,6,Multistep guide,03 My employment (pay and grading),None,Not Found,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
,Timeline of academic promotions process,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/timeline/,/admin/hr/pay-and-grading/promotion/timeline/,/hr/employment/pay-grading/promotion/academic-timeline/,5,Information page (non standard),03 My employment (pay and grading),None,Not Found,Louise Abrahams,,,answer-template-2024,FALSE,Preview,Edit
,Panel guidance: Terms of reference,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/panel-guidance/apc-terms-of-reference/,/admin/hr/pay-and-grading/promotion/panel-guidance/apc-terms-of-reference/,/hr/employment/pay-grading/promotion/terms-of-reference/,5,Information page,03 My employment (pay and grading),None,Not Found,Louise Abrahams,Merge with https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/panel-guidance/fpp-terms-of-reference/ and have each term of reference in an accordion,,answer-template-2024,FALSE,#N/A,#N/A
,Apply for academic promotion,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/apply/,/admin/hr/pay-and-grading/promotion/apply/,/hr/employment/pay-grading/promotion/apply/,5,Information page (non standard),03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Has videos,answer-template-2017,FALSE,Preview,Edit
,Career and development support,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/career-resources/,/admin/hr/pay-and-grading/promotion/career-resources/,/hr/employment/pay-grading/promotion/career-resources/,5,Information page,03 My employment (pay and grading),None,,Susan Kane,,,answer-template-2024,FALSE,Preview,Edit
,Criteria and eligibility,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/criteria/,/admin/hr/pay-and-grading/promotion/criteria/,/hr/employment/pay-grading/promotion/criteria/,5,Information page (non standard),03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Has a filterable table,answer-template-2017,FALSE,Preview,Edit
,"Panel guidance: Faculty Promotions Panel Terms of Reference
",,Sitemap queries and notes for HR,/admin/hr/pay-and-grading/promotion/panel-guidance/fpp-terms-of-reference/,,5,Information page,03 My employment (pay and grading),Deleting,Not Found,Louise Abrahams,Merging into one page with: https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/panel-guidance/apc-terms-of-reference/,,open-template-2024,FALSE,#N/A,#N/A
,HoD and Departmental Promotion Group (DPG) guidance,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/hod-dpg-guidance/,/admin/hr/pay-and-grading/promotion/hod-dpg-guidance/,/hr/employment/pay-grading/promotion/hod-departmental-guidance/,5,Information page,03 My employment (pay and grading),None,Not Found,Louise Abrahams,,,answer-template-2024,FALSE,Preview,Edit
,"Webinars and related resources
",,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/webinars-and-other-media/,/admin/hr/pay-and-grading/promotion/webinars-and-other-media/,/hr/employment/pay-grading/promotion/resources/,5,Information page (non standard),03 My employment (pay and grading),None,Not Found,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
,"Retention of academic, research and teaching staff through promotion",,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/retention/,/admin/hr/pay-and-grading/promotion/retention/,/hr/employment/pay-grading/promotion/retention/,5,Information page,03 My employment (pay and grading),None,Major rewrite required,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,"Recruitment, retention and recognition",,https://www.york.ac.uk/admin/hr/browse/pay-and-grading/recruitment-retention-recognition,/browse/pay-and-grading/recruitment-retention-recognition,/hr/employment/pay-grading/recruitment-retention-recognition/,4,Index page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,Browse listing page,FALSE,Preview,Edit
,Recruitment and market pay premiums,,https://www.york.ac.uk/admin/hr/pay-and-grading/recruitment-retention-recognition/market-pay/,/admin/hr/pay-and-grading/recruitment-retention-recognition/market-pay/,/hr/employment/pay-grading/recruitment-retention-recognition/market-pay/,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Retaining existing staff,,https://www.york.ac.uk/admin/hr/pay-and-grading/recruitment-retention-recognition/retaining-existing-staff/,/admin/hr/pay-and-grading/recruitment-retention-recognition/retaining-existing-staff/,/hr/employment/pay-grading/recruitment-retention-recognition/retaining-existing-staff/,5,Information page,03 My employment (pay and grading),None,Major rewrite required,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
1,Recognition scheme: Making the difference,,https://www.york.ac.uk/admin/hr/pay-and-grading/recruitment-retention-recognition/recognition-schemes/making-the-difference/,/admin/hr/pay-and-grading/recruitment-retention-recognition/recognition-schemes/making-the-difference/,/hr/employment/pay-grading/recruitment-retention-recognition/schemes,5,Multistep parent,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Not step-by-step,multiPage-template-2017,FALSE,Preview,Edit
2,Recognition scheme: Rewarding Excellence,,https://www.york.ac.uk/admin/hr/pay-and-grading/recruitment-retention-recognition/recognition-schemes/rewarding-excellence/,/admin/hr/pay-and-grading/recruitment-retention-recognition/recognition-schemes/rewarding-excellence/,/hr/employment/pay-grading/recruitment-retention-recognition/schemes/rewarding-excellence,6,Multistep guide,03 My employment (pay and grading),None,Major rewrite required,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
3,Recognition scheme: Temporary Responsibility Allowance,,https://www.york.ac.uk/admin/hr/pay-and-grading/recruitment-retention-recognition/recognition-schemes/temporary-responsibility-allowance/,/admin/hr/pay-and-grading/recruitment-retention-recognition/recognition-schemes/temporary-responsibility-allowance/,/hr/employment/pay-grading/recruitment-retention-recognition/schemes/temporary-responsibility-allowance,6,Multistep guide,03 My employment (pay and grading),None,Major rewrite required,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
,Remuneration committee and remuneration sub-group,,https://www.york.ac.uk/admin/hr/browse/pay-and-grading/remuneration,/browse/pay-and-grading/remuneration,/hr/employment/pay-grading/remuneration/,4,Index page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,Browse listing page,FALSE,Preview,Edit
1,People and Remuneration committee,,https://www.york.ac.uk/admin/hr/pay-and-grading/remuneration/remuneration-committee/terms-of-reference/,/admin/hr/pay-and-grading/remuneration/remuneration-committee/terms-of-reference/,/hr/employment/pay-grading/remuneration/committee/,5,Multistep parent,03 My employment (pay and grading),None,Minor updates actioned,Louise Abrahams,,Not step-by-step,multiPage-template-2017,FALSE,Preview,Edit
2,Vice-Chancellor's remuneration,People and Remuneration committee: Vice-Chancellor's remuneration,https://www.york.ac.uk/admin/hr/pay-and-grading/remuneration/remuneration-committee/vc-remuneration/,/admin/hr/pay-and-grading/remuneration/remuneration-committee/vc-remuneration/,/hr/employment/pay-grading/remuneration/committee/vc/,6,Multistep guide,03 My employment (pay and grading),None,Minor updates actioned,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
3,"Constituency and membership
",People and Remuneration committee: Constituency and membership,https://www.york.ac.uk/admin/hr/pay-and-grading/remuneration/remuneration-committee/members-list/,/admin/hr/pay-and-grading/remuneration/remuneration-committee/members-list/,/hr/employment/pay-grading/remuneration/committee/members/,6,Multistep guide,03 My employment (pay and grading),None,Minor updates actioned,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
4,Upcoming meetings,People and Remuneration committee: Upcoming meetings,https://www.york.ac.uk/admin/hr/pay-and-grading/remuneration/remuneration-committee/upcoming-meetings/,/admin/hr/pay-and-grading/remuneration/remuneration-committee/upcoming-meetings/,/hr/employment/pay-grading/remuneration/committee/meetings/,6,Multistep guide,03 My employment (pay and grading),None,Minor updates actioned,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
5,Meeting attendance,People and Remuneration committee: Attendance,https://www.york.ac.uk/admin/hr/pay-and-grading/remuneration/remuneration-committee/meeting-attendance/,/admin/hr/pay-and-grading/remuneration/remuneration-committee/meeting-attendance/,/hr/employment/pay-grading/remuneration/committee/attendance/,6,Multistep guide,03 My employment (pay and grading),None,Minor updates actioned,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
,Remuneration executive group,,https://www.york.ac.uk/admin/hr/pay-and-grading/remuneration/remuneration-sub-group/terms-of-reference/,/admin/hr/pay-and-grading/remuneration/remuneration-sub-group/terms-of-reference/,/hr/employment/pay-grading/remuneration/sub-group/,5,Multistep parent,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Not step-by-step,multiPage-template-2017,FALSE,Preview,Edit
1,Membership,Remuneration executive group: Membership,https://www.york.ac.uk/admin/hr/pay-and-grading/remuneration/remuneration-sub-group/members-list/,/admin/hr/pay-and-grading/remuneration/remuneration-sub-group/members-list/,/hr/employment/pay-grading/remuneration/sub-group/members/,6,Multistep guide,03 My employment (pay and grading),None,Minor updates,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
2,Upcoming meetings,Remuneration executive group: Upcoming meetings,https://www.york.ac.uk/admin/hr/pay-and-grading/remuneration/remuneration-sub-group/upcoming-meetings/,/admin/hr/pay-and-grading/remuneration/remuneration-sub-group/upcoming-meetings/,/hr/employment/pay-grading/remuneration/sub-group/meetings/,6,Multistep guide,03 My employment (pay and grading),None,Minor updates,Louise Abrahams,,,multiPage-template-2017,FALSE,Preview,Edit
,Role evaluation and review,,https://www.york.ac.uk/admin/hr/browse/pay-and-grading/role-evaluation,/browse/pay-and-grading/role-evaluation,/hr/employment/pay-grading/role-evaluation/,4,Index page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,Browse listing page,FALSE,Preview,Edit
,Have a new role evaluated,,https://www.york.ac.uk/admin/hr/pay-and-grading/role-evaluation/new-role-request/,/admin/hr/pay-and-grading/role-evaluation/new-role-request/,/hr/employment/pay-grading/role-evaluation/new-role-request/,5,Online form,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
,About role evaluation,,https://www.york.ac.uk/admin/hr/pay-and-grading/role-evaluation/overview/,/admin/hr/pay-and-grading/role-evaluation/overview/,/hr/employment/pay-grading/role-evaluation/overview/,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Request a review of an existing role,,https://www.york.ac.uk/admin/hr/pay-and-grading/role-evaluation/role-review-request/,/admin/hr/pay-and-grading/role-evaluation/role-review-request/,/hr/employment/pay-grading/role-evaluation/role-review-request/,5,Online form,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
,Panel guidance,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/academic-promotion-committee/membership/,/admin/hr/pay-and-grading/promotion/academic-promotion-committee/membership/,,,Multistep guide,03 My employment (pay and grading),Query - general,Fine as is,Louise Abrahams,This is part of a multistep guide but the terms of ref link in step one is redirected. So is the panel guidance needed and if so where should it live? Should it be with the other panel guidance pages in this section?,,multiPage-template-2017,FALSE,#N/A,#N/A
,Professorial pay review about the process,,https://www.york.ac.uk/admin/hr/pay-and-grading/professorial-pay-review/process/,/admin/hr/pay-and-grading/professorial-pay-review/process/,,,Information page,03 My employment (pay and grading),Deleting,,Louise Abrahams,RK confirmed offline August 2025.,,answer-template-2017,FALSE,#N/A,#N/A
,Panel guidance,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/faculty-promotion-panels/membership/,/admin/hr/pay-and-grading/promotion/faculty-promotion-panels/membership/,,,Information page,03 My employment (pay and grading),Deleting,,Louise Abrahams,RK confirmed page retired,,Not Found,FALSE,#N/A,#N/A
,Principles: Academic promotion,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/principles/,/admin/hr/pay-and-grading/promotion/principles/,,,Information page,03 My employment (pay and grading),Deleting,,Louise Abrahams,RK confirmed offline August 2025.,,answer-template-2017,FALSE,#N/A,#N/A
,Apply for academic promotion,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/testing/index-apply.cfm,/admin/hr/pay-and-grading/promotion/testing/index-apply.cfm,,,Information page,03 My employment (pay and grading),Deleting,,Louise Abrahams,RK confirmed test page to be retired,,Not Found,FALSE,#N/A,#N/A
,Career and development support,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/testing/index-career-resources.cfm,/admin/hr/pay-and-grading/promotion/testing/index-career-resources.cfm,,,Information page,03 My employment (pay and grading),Deleting,,Louise Abrahams,RK confirmed test page to be retired,,Not Found,FALSE,#N/A,#N/A
,Criteria and eligibility,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/testing/index-category-library.cfm,/admin/hr/pay-and-grading/promotion/testing/index-category-library.cfm,,,Information page,03 My employment (pay and grading),Deleting,,Louise Abrahams,RK confirmed test page to be retired,,answer-template-2017,FALSE,#N/A,#N/A
,Academic promotions: overview,,https://www.york.ac.uk/admin/hr/pay-and-grading/promotion/testing/index-overview-2.cfm,/admin/hr/pay-and-grading/promotion/testing/index-overview-2.cfm,,,Information page,03 My employment (pay and grading),Deleting,,Louise Abrahams,RK confirmed test page to be retired,,Not Found,FALSE,#N/A,#N/A
,"Attendance, leave and absence",,https://www.york.ac.uk/admin/hr/browse/leave-and-absence,/browse/leave-and-absence,/hr/employment/leave-absence/,3,Index page,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,Browse listing page,FALSE,Preview,Edit
,Annual leave,,https://www.york.ac.uk/admin/hr/browse/leave-and-absence/annual-leave,/browse/leave-and-absence/annual-leave,/hr/employment/leave-absence/annual-leave/,4,Index page,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,Browse listing page,FALSE,Preview,Edit
,How much holiday do I get?,,https://www.york.ac.uk/admin/hr/leave-and-absence/annual-leave/calculator/,/admin/hr/leave-and-absence/annual-leave/calculator/,/hr/employment/leave-absence/annual-leave/calculator/,5,"Online form, Information page (non standard)","04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,"Possibly uses Coldfusion for calculation (we're figuring out what code we should maintain).

Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed",answer-template-2017,FALSE,Preview,Edit
,Taking holiday,,https://www.york.ac.uk/admin/hr/leave-and-absence/annual-leave/taking-holiday/,/admin/hr/leave-and-absence/annual-leave/taking-holiday/,/hr/employment/leave-absence/annual-leave/taking-holiday/,5,Information page,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,answer-template-2017,FALSE,Preview,Edit
,Guidance calculating annual leave,,https://www.york.ac.uk/admin/hr/leave-and-absence/annual-leave/calculation-guidance/,/admin/hr/leave-and-absence/annual-leave/calculation-guidance/,/hr/employment/leave-absence/annual-leave/calculation-guidance/,5,Information page,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,Use text highlight for the grey boxes,answer-template-2017,FALSE,Preview,Edit
,Flexible working,,https://www.york.ac.uk/admin/hr/browse/leave-and-absence/flexible-working,/browse/leave-and-absence/flexible-working,/hr/employment/leave-absence/flexible-working/,4,Index page,"04 My employment (attendance, leave and absence)",Query - general,Fine as is,Laura McIlroy,"Double check whether the first page linked on this page /admin/hr/leave-and-absence/flexible-working/overview/ is needed. Marked as deleting in the orignal content audit.
",,Browse listing page,FALSE,Preview,Edit
,Applying for flexible working,,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/making-an-application/planning/,/admin/hr/leave-and-absence/flexible-working/making-an-application/planning/,/hr/employment/leave-absence/flexible-working/making-an-application/,5,Multistep parent,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
,Making an application,Making an application for flexible working,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/making-an-application/applying/,/admin/hr/leave-and-absence/flexible-working/making-an-application/applying/,/hr/employment/leave-absence/flexible-working/making-an-application/applying/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,After you've applied,After you've applied for flexible working,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/making-an-application/what-happens/,/admin/hr/leave-and-absence/flexible-working/making-an-application/what-happens/,/hr/employment/leave-absence/flexible-working/making-an-application/what-happens/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Flexible retirement applications,,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/making-an-application/flexible-retirement/,/admin/hr/leave-and-absence/flexible-working/making-an-application/flexible-retirement/,/hr/employment/leave-absence/flexible-working/making-an-application/flexible-retirement/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Guidance for managers on flexible working requests,,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/considering-an-application/receipt/,/admin/hr/leave-and-absence/flexible-working/considering-an-application/receipt/,/hr/employment/leave-absence/flexible-working/considering-an-application,5,Multistep parent,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,Prev/next buttons beneficial,multiPage-template-2017,FALSE,Preview,Edit
,Considering the request,Considering a flexible working request,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/considering-an-application/consideration/,/admin/hr/leave-and-absence/flexible-working/considering-an-application/consideration/,/hr/employment/leave-absence/flexible-working/considering-an-application/consideration/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Implementing the change,Implementing a flexible working arrangement,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/considering-an-application/implementation/,/admin/hr/leave-and-absence/flexible-working/considering-an-application/implementation/,/hr/employment/leave-absence/flexible-working/considering-an-application/implementation/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Types of flexible working,Types of flexible working: Flexitime,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/types/flexitime/,/admin/hr/leave-and-absence/flexible-working/types/flexitime/,/hr/employment/leave-absence/flexible-working/types/,5,Multistep parent,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,Not step-by-step,multiPage-template-2017,FALSE,Preview,Edit
,Job sharing,Types of flexible working: Job sharing,https://www.york.ac.uk/admin/hr/leave-and-absence/flexible-working/types/job-sharing/,/admin/hr/leave-and-absence/flexible-working/types/job-sharing/,/hr/employment/leave-absence/flexible-working/types/job-sharing/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Fine as is,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
